Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
oakley-oo4129-1758,"Oakley SPLIT TIME — Sport Performance, VelvetBlack","Frame: VelvetBlack. Lens: PrzmGryGrey. Woman / Round shape. Fit: Bridge: 13mm, Lens width: 58mm, Lens height: 47mm, Temple: 133mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, SPLIT TIME, Round",TRUE,Title,Default Title,,,,,OO4129-1758,2696000,3370000,,shopify,Woman,Round,FALSE,C_5,Polycarbonate,13,58,47,133,G40 Black Gradient,Crystal Raspberry,Injected,Adjustable Nosepads,OK4129-1758,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412917__STD__noshad__fr.jpg?v=1785243830
oakley-oo4129-1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412917__STD__noshad__qt.jpg?v=1785243833
oakley-oo4129-2558,"Oakley SPLIT TIME — Sport Performance, Matte OilveInk","Frame: Matte OilveInk. Lens: PrizmBrz. Woman / Round shape. Fit: Bridge: 13mm, Lens width: 58mm, Lens height: 47mm, Temple: 133mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, SPLIT TIME, Round",TRUE,Title,Default Title,,,,,OO4129-2558,2824000,3530000,,shopify,Woman,Round,FALSE,C_5,Polycarbonate,13,58,47,133,G40 Black Gradient,Crystal Raspberry,Injected,Adjustable Nosepads,OK4129-2558,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412925__P21__noshad__fr.jpg?v=1785243837
oakley-oo4129-2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412925__P21__noshad__qt.jpg?v=1785243840
oakley-oo4129-2858,"Oakley SPLIT TIME — Sport Performance, TransparentGinger","Frame: TransparentGinger. Lens: PrzmTungsten. Woman / Round shape. Fit: Bridge: 13mm, Lens width: 58mm, Lens height: 47mm, Temple: 133mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, SPLIT TIME, Round",TRUE,Title,Default Title,,,,,OO4129-2858,2984000,3730000,,shopify,Woman,Round,FALSE,C_5,Polycarbonate,13,58,47,133,G40 Black Gradient,Crystal Raspberry,Injected,Adjustable Nosepads,OK4129-2858,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412928__P21__noshad__fr.jpg?v=1783995711
oakley-oo4129-2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4129__412928__P21__noshad__qt.jpg?v=1783995714
oakley-oo4145-0160,"Oakley WIRE TAP 2.0 — Performance Lifestyle, Mbk","Frame: Mbk. Lens: Prizm Grey. Man / Rectangle shape. Fit: Bridge: 19mm, Lens width: 60mm, Lens height: 39mm, Temple: 136mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, WIRE TAP 2.0, Rectangle",TRUE,Title,Default Title,,,,,OO4145-0160,3624000,4530000,,shopify,Man,Rectangle,FALSE,C_5,Polycarbonate,19,60,39,136,Prizm Grey,Satin Black,Metal,Adjustable Nosepads,OK4145-0160,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4145__414501__STD__noshad__fr.jpg?v=1783995748
oakley-oo4145-0160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4145__414501__STD__noshad__qt.jpg?v=1783995751
oakley-oo4145-0660,"Oakley WIRE TAP 2.0 — Performance Lifestyle, SatinLead","Frame: SatinLead. Lens: PrzmDeepWaterPol.. Man / Rectangle shape. Fit: Bridge: 19mm, Lens width: 60mm, Lens height: 39mm, Temple: 136mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, WIRE TAP 2.0, Rectangle",TRUE,Title,Default Title,,,,,OO4145-0660,4192000,5240000,,shopify,Man,Rectangle,FALSE,C_5,Polycarbonate,19,60,39,136,Prizm Grey,Satin Black,Metal,Adjustable Nosepads,OK4145-0660,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4145__414506__STD__noshad__fr.jpg?v=1785243843
oakley-oo4145-0660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4145__414506__STD__noshad__qt.jpg?v=1785243846
oakley-oo4147-1357,Oakley CONTRAIL — SatinGold,"Frame: SatinGold. Lens: PrzmBlack. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, CONTRAIL",TRUE,Title,Default Title,,,,,OO4147-1357,3056000,3820000,,shopify,,,FALSE,,,,,,,,,,,OK4147-1357,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4147__414713__P21__noshad__fr.jpg?v=1785243849
oakley-oo4147-1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4147__414713__P21__noshad__qt.jpg?v=1785243852
oakley-oo6017-07,Oakley TINCAN FERRARI — sp5s-Carbon-Brn,"Frame: sp5s-Carbon-Brn. Lens: RedIrr. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, TINCAN FERRARI",TRUE,Title,Default Title,,,,,OO6017-07,3900000,5094000,,shopify,,,FALSE,,,,,,,,,,,OK6017-07,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6017__601707_000A.jpg?v=1785243855
oakley-oo6017-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6017__601707_030A.jpg?v=1785243859
oakley-oo6019-03,Oakley MADMAN — Gn,"Frame: Gn. Lens: Polarized Brn Irr Sz-42. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, MADMAN",TRUE,Title,Default Title,,,,,OO6019-03,5499000,,,shopify,,,FALSE,,,,,,,,,,,OK6019-03,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6019__601903_000A.jpg?v=1785243861
oakley-oo6019-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6019__601903_030A.jpg?v=1785243865
oakley-oo6019-04,Oakley MADMAN — Mtblk,"Frame: Mtblk. Lens: Polarized Red. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, MADMAN",TRUE,Title,Default Title,,,,,OO6019-04,7690000,,,shopify,,,FALSE,,,,,,,,,,,OK6019-04,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6019__601904_000A.jpg?v=1785243868
oakley-oo6019-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6019__601904_030A.jpg?v=1785243872
oakley-oo6035-01,Oakley BADMAN — MBlack,"Frame: MBlack. Lens: Polarized BlkIrr,Sz56. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, BADMAN",TRUE,Title,Default Title,,,,,OO6035-01,7690000,,,shopify,,,FALSE,,,,,,,,,,,OK6035-01,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603501_000A.jpg?v=1785243875
oakley-oo6035-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603501_030A.jpg?v=1785243878
oakley-oo6035-02,Oakley BADMAN — *Gn,"Frame: *Gn. Lens: PolBluMirror,56. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, BADMAN",TRUE,Title,Default Title,,,,,OO6035-02,5499000,7690000,,shopify,,,FALSE,,,,,,,,,,,OK6035-02,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603502_000A.jpg?v=1785243881
oakley-oo6035-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603502_030A.jpg?v=1785243884
oakley-oo6035-03,Oakley BADMAN — Sq-Slv,"Frame: Sq-Slv. Lens: ChrIrr,Sz-56. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, BADMAN",TRUE,Title,Default Title,,,,,OO6035-03,4999000,,,shopify,,,FALSE,,,,,,,,,,,OK6035-03,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603503_000A.jpg?v=1785243887
oakley-oo6035-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603503_030A.jpg?v=1785243890
oakley-oo6035-04,Oakley BADMAN — FRR-Carbon,"Frame: FRR-Carbon. Lens: Polarized BlkIrr. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, BADMAN",TRUE,Title,Default Title,,,,,OO6035-04,8590000,,,shopify,,,FALSE,,,,,,,,,,,OK6035-04,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603504_000A.jpg?v=1785243893
oakley-oo6035-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6035__603504_030A.jpg?v=1785243896
oakley-oo6038-0157,Oakley GAUGE 6 — sp4-PowderCoal,"Frame: sp4-PowderCoal. Lens: PrzmBlack. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, GAUGE 6",TRUE,Title,Default Title,,,,,OO6038-0157,3150000,4690000,,shopify,,,FALSE,,,,,,,,,,,OK6038-0157,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603801_000A.jpg?v=1785243900
oakley-oo6038-0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603801_030A.jpg?v=1785243903
oakley-oo6038-0457,Oakley GAUGE 6 — sp4-Black,"Frame: sp4-Black. Lens: PrzmRubyPol. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, GAUGE 6",TRUE,Title,Default Title,,,,,OO6038-0457,3750000,5690000,,shopify,,,FALSE,,,,,,,,,,,OK6038-0457,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603804_000A.jpg?v=1785243906
oakley-oo6038-0457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603804_030A.jpg?v=1785243909
oakley-oo6038-0557,Oakley GAUGE 6 — sp4-StnChrm,"Frame: sp4-StnChrm. Lens: PrzmTstenPol. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, GAUGE 6",TRUE,Title,Default Title,,,,,OO6038-0557,3750000,5690000,,shopify,,,FALSE,,,,,,,,,,,OK6038-0557,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603805_000A.jpg?v=1785243912
oakley-oo6038-0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO6038__603805_030A.jpg?v=1785243915
oakley-oo9014-c960,"Oakley GASCAN — Performance Lifestyle, Matte Clear","Frame: Matte Clear. Lens: PrzmPeach. Man / Rectangle shape. Fit: Bridge: 15mm, Lens width: 60mm, Lens height: 36mm, Temple: 128mm. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, GASCAN, Rectangle",TRUE,Title,Default Title,,,,,OO9014-C960,2280000,2850000,,shopify,Man,Rectangle,FALSE,O_matter,Polycarbonate,15,60,36,128,Grey,Polished Black,Injected,High Bridge Fit,OK9014-C960,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9014__9014C9__P21__noshad__fr.jpg?v=1783995768
oakley-oo9014-c960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO9014__9014C9__P21__noshad__qt.jpg?v=1783995771
